time,computers on
2016-08-30 21:26:32,19
2016-08-30 21:44:19,19
2016-08-30 22:01:56,19
2016-08-30 22:19:34,19
2016-08-30 22:37:12,19
2016-08-30 22:54:49,19
2016-08-30 23:12:27,19
2016-08-30 23:30:05,19
2016-08-30 23:47:42,19
2016-08-31 00:05:20,19
2016-08-31 00:22:57,19
2016-08-31 00:40:35,19
2016-08-31 00:58:13,19
2016-08-31 01:15:50,19
2016-08-31 01:33:28,19
2016-08-31 01:51:05,19
2016-08-31 02:08:43,19
2016-08-31 02:26:21,19
2016-08-31 02:43:58,19
2016-08-31 03:01:36,21
2016-08-31 03:19:14,21
2016-08-31 03:36:51,19
2016-08-31 03:54:29,19
2016-08-31 04:12:07,19
2016-08-31 04:29:44,19
2016-08-31 04:47:22,19
2016-08-31 05:05:00,19
2016-08-31 05:22:37,19
2016-08-31 05:40:15,19
2016-08-31 05:57:52,19
2016-08-31 06:15:30,19
2016-08-31 06:33:08,19
2016-08-31 06:50:45,19
2016-08-31 07:08:23,19
2016-08-31 07:26:01,19
2016-08-31 07:43:38,19
2016-08-31 08:01:16,19
2016-08-31 08:18:53,19
2016-08-31 08:36:31,19
2016-08-31 08:54:09,20
2016-08-31 09:11:46,21
2016-08-31 09:29:24,21
2016-08-31 09:47:01,22
2016-08-31 10:04:39,36
2016-08-31 10:22:17,42
2016-08-31 10:39:54,41
2016-08-31 10:57:32,41
2016-08-31 11:15:10,41
2016-08-31 11:32:47,41
2016-08-31 11:50:25,42
2016-08-31 12:08:03,41
2016-08-31 12:25:40,41
2016-08-31 12:43:18,41
2016-08-31 13:00:56,41
2016-08-31 13:18:33,41
2016-08-31 13:36:11,42
2016-08-31 13:53:48,42
2016-08-31 14:11:26,43
2016-08-31 14:29:04,42
2016-08-31 14:46:41,43
2016-08-31 15:04:19,43
2016-08-31 15:21:57,42
2016-08-31 15:39:34,42
2016-08-31 15:57:12,42
2016-08-31 16:14:50,43
2016-08-31 16:32:27,43
2016-08-31 16:50:05,43
2016-08-31 17:07:42,42
2016-08-31 17:25:20,42
2016-08-31 17:42:58,24
2016-08-31 18:00:35,22
2016-08-31 18:18:13,21
2016-08-31 18:35:50,20
2016-08-31 18:53:28,19
2016-08-31 19:11:06,19
2016-08-31 19:28:43,19
2016-08-31 19:46:21,19
2016-08-31 20:03:58,19
2016-08-31 20:21:36,19
2016-08-31 20:39:14,19
2016-08-31 20:56:51,19
2016-08-31 21:14:29,19
2016-08-31 21:32:07,19
2016-08-31 21:49:45,19
2016-08-31 22:07:22,19
2016-08-31 22:25:00,19
2016-08-31 22:42:37,19
2016-08-31 23:00:15,19
